Player,National Team,National Team Country,Group,Position,Club Name,Club Town,Club Country,Raw Club Name,Same Country
Igor Akinfeev,Russia,Russia,A,Goalkeeper,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Vladimir Gabulov,Russia,Russia,A,Goalkeeper,Club Brugge,Bruges,Belgium,Club Brugge,N
Andrey Lunyov,Russia,Russia,A,Goalkeeper,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Vladimir Granat,Russia,Russia,A,Defender,Rubin Kazan,Kazan,Russia,Rubin Kazan,Y
Fyodor Kudryashov,Russia,Russia,A,Defender,Rubin Kazan,Kazan,Russia,Rubin Kazan,Y
Ilya Kutepov,Russia,Russia,A,Defender,Spartak Moscow,Moscow,Russia,Spartak Moscow,Y
Andrei Semyonov,Russia,Russia,A,Defender,Akhmat Grozny,Grozny,Russia,Akhmat Grozny,Y
Sergei Ignashevich,Russia,Russia,A,Defender,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Mario Fernandes,Russia,Russia,A,Defender,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Igor Smolnikov,Russia,Russia,A,Defender,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Yury Gazinsky,Russia,Russia,A,Midfielder,Krasnodar,Krasnodar,Russia,Krasnodar,Y
Aleksandr Golovin,Russia,Russia,A,Midfielder,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Alan Dzagoev,Russia,Russia,A,Midfielder,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Aleksandr Yerokhin,Russia,Russia,A,Midfielder,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Yuri Zhirkov,Russia,Russia,A,Midfielder,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Daler Kuzyaev,Russia,Russia,A,Midfielder,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Roman Zobnin,Russia,Russia,A,Midfielder,Spartak Moscow,Moscow,Russia,Spartak Moscow,Y
Aleksandr Samedov,Russia,Russia,A,Midfielder,Spartak Moscow,Moscow,Russia,Spartak Moscow,Y
Anton Miranchuk,Russia,Russia,A,Midfielder,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,Y
Denis Cheryshev,Russia,Russia,A,Midfielder,Villarreal,Villarreal,Spain,Villarreal,N
Artem Dzyuba,Russia,Russia,A,Forward,Arsenal Tula,Tula,Russia,Arsenal Tula,Y
Aleksei Miranchuk,Russia,Russia,A,Forward,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,Y
Fyodor Smolov,Russia,Russia,A,Forward,Krasnodar,Krasnodar,Russia,Krasnodar,Y
Mohammed Alowais,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Yasser Almosailem,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Abdullah Almuaiouf,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Mansoor Alharbi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Yasser Alshahrani,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Mohammed Alburyak,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Motaz Hawsawi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Osama Hawsawi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Omar Othman,Saudi Arabia,Saudi Arabia,A,Defender,Al-Nassr,Riyadh,Saudi Arabia,Al Nassr,Y
Ali Albulayhi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Abdullah Alkhaibari,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Shabab,Riyadh,Saudi Arabia,Al Shabab,Y
Abdulmalek Alkhaibri,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Abdullah Otayf,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Taiseer Aljassam,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Hussain Almoqahwi,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Salman Alfaraj,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Mohamed Kanno,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Hatan Bahbir,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Shabab,Riyadh,Saudi Arabia,Al Shabab,Y
Salem Aldawsari,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Yahia Alshehri,Saudi Arabia,Saudi Arabia,A,Midfielder,Al-Nassr,Riyadh,Saudi Arabia,Al Nassr,Y
Mohammed Alsahlawi,Saudi Arabia,Saudi Arabia,A,Forward,Al-Nassr,Riyadh,Saudi Arabia,Al Nassr,Y
Muhannad Asiri,Saudi Arabia,Saudi Arabia,A,Forward,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Fahad Almuwallad,Saudi Arabia,Saudi Arabia,A,Forward,Al-Ittihad,Jeddah,Saudi Arabia,Al Ittihad,Y
