objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
497,E14001026,Wells,349692,146261,-2.72162008,51.21331024,577336620.178702,175339.383150464
498,E14001027,Welwyn Hatfield,525345,208467,-0.18517999,51.76087189,114113020.61186,78616.4999224944
499,E14001028,Wentworth and Dearne,442975,399603,-1.35373998,53.49140167,90294949.2064948,82314.1166260757
500,E14001029,West Bromwich East,402098,293072,-1.97048998,52.53551865,27827840.7426081,31294.129707356
501,E14001030,West Bromwich West,397511,292210,-2.03811002,52.527771,27492065.7341591,35540.6774523888
502,E14001031,West Dorset,357765,99663,-2.60061002,50.79497147,1038444029.92071,255799.383735173
503,E14001032,West Ham,539774,183149,0.013655,51.52994919,17575345.9829436,23693.0237927257
504,E14001033,West Lancashire,342047,408082,-2.87649012,53.56613922,262355902.230826,100936.591353089
505,E14001034,West Suffolk,580944,275380,0.65505701,52.34664917,818298863.02458,303289.321408688
506,E14001035,West Worcestershire,380454,250018,-2.28706002,52.14810944,705288894.581917,297862.803379105
507,E14001036,Westminster North,525949,182218,-0.18587001,51.52484131,7983252.16128134,17797.7423814605
508,E14001037,Westmorland and Lonsdale,352958,492385,-2.72478008,54.32485962,1477658075.23756,246379.903194637
509,E14001038,Weston-Super-Mare,338994,160991,-2.87728,51.3447113,158676862.198936,90258.631192342
510,E14001039,Wigan,357776,408202,-2.63902998,53.5687294,60509526.4229597,41902.2067781196
511,E14001040,Wimbledon,524128,170000,-0.21639,51.41542816,21178905.6328962,21819.7045521184
512,E14001041,Winchester,451629,135559,-1.26374996,51.11698914,324909021.991196,124599.224433921
513,E14001042,Windsor,490470,171462,-0.69986999,51.43494034,148298705.683985,92368.1087280062
514,E14001043,Wirral South,330364,382283,-3.04713988,53.33287048,88203436.0752595,53475.4233404635
515,E14001044,Wirral West,324738,386733,-3.13265991,53.37208939,100437720.218743,54309.5458470573
516,E14001045,Witham,586792,214917,0.70773798,51.80168915,385350346.688832,144222.545434623
517,E14001046,Witney,434343,215816,-1.50292003,51.83990097,714422027.331908,160247.858532415
518,E14001047,Woking,496149,155762,-0.62243998,51.29288101,98993935.6173703,75458.5807521351
519,E14001048,Wokingham,470404,168144,-0.98913997,51.40795898,156102408.372994,87803.9451277209
520,E14001049,Wolverhampton North East,393362,301509,-2.09945011,52.61132813,24759068.9906503,29092.5568112997
521,E14001050,Wolverhampton South East,393533,296490,-2.09682989,52.5662117,24755900.4048067,27649.5734817125
522,E14001051,Wolverhampton South West,389010,298671,-2.16363001,52.58573914,23140720.407206,28879.5002677191
523,E14001052,Worcester,385725,255196,-2.2102499,52.1948204,33278124.5789371,31263.0449428551
524,E14001053,Workington,317334,543173,-3.28667998,54.77664185,738474135.325496,231994.735225205
525,E14001054,Worsley and Eccles South,372907,399589,-2.40982008,53.49232101,59657139.7527935,50243.9232674849
526,E14001055,Worthing West,511068,104626,-0.42423001,50.83050919,31946520.7441161,37908.8324822505
527,E14001056,Wycombe,479280,190191,-0.85659999,51.60498047,139942466.282011,82822.5446198415
528,E14001057,Wyre and Preston North,351597,440598,-2.73740005,53.8593483,269456804.200374,137049.060283599
529,E14001058,Wyre Forest,384106,276388,-2.23494005,52.38529968,195403717.58852,100867.388049548
530,E14001059,Wythenshawe and Sale East,380730,389917,-2.29132009,53.4057312,36544677.6224395,40867.8801602451
531,E14001060,Yeovil,340522,114840,-2.84770989,50.9299202,401007776.586667,152711.891387583
534,S14000001,Aberdeen North,389796,808947,-2.17038012,57.17123032,56916571.6687991,54207.161287209
535,S14000002,Aberdeen South,384133,802600,-2.26362991,57.11405182,92484847.3600125,74071.5547131981
536,S14000003,Airdrie and Shotts,283330,662650,-3.86474991,55.84289932,229438306.040653,92615.487156013
537,S14000004,Angus,344353,761976,-2.91144991,56.74605942,1987037942.59885,297336.316416594
538,S14000005,Argyll and Bute,200740,715442,-5.22113991,56.28942871,7163791352.63225,3718919.37248487
539,S14000006,"Ayr, Carrick and Cumnock",238951,603944,-4.53852987,55.30316925,1635987278.92581,334561.523449569
540,S14000007,Banff and Buchan,386375,849383,-2.2292099,57.53435898,1600147138.00512,367904.685246695
541,S14000008,"Berwickshire, Roxburgh and Selkirk",356199,624537,-2.69513988,55.51261139,3842621369.86368,473491.413389678
542,S14000009,"Caithness, Sutherland and Easter Ross",258617,918473,-4.40269995,58.13249969,8751696823.48887,1647181.79032455
